01.12.2016; 10:35:0 - 12:10:0; Английский язык; 
01.12.2016; 12:25:0 - 14:0:0; Физическая культура; 
01.12.2016; 14:45:0 - 16:20:0; Математический анализ; 
02.12.2016; 10:35:0 - 12:10:0; Аппаратные средства вычислительной техники; 
03.12.2016; 10:35:0 - 12:10:0; Первая пара отменяется! КБ не будет; 
05.12.2016; 9:0:0 - 9:5:0; Купить хлеб; 
07.12.2016; 12:0:0 - 12:15:0; Заехать в магазин; 
08.12.2016; 9:5:12 - 13:15:37; Придумать пункт для плана; 
09.12.2016; 10:0:0 - 12:0:0; Тестовая заметка; 
31.12.2016; 0:0:0 - 23:59:59; Новый год; 
